Item,KW
852321,2026-31
852323,2026-40
5100016,2026-33
5100017,2026-33
5110010,2026-31
5110011,2026-31
5110012,2026-31
5110013,2026-31
6200108,2026-33
6200109,2026-34
6200110,2026-36
6200111,2026-37
6200178,2026-35
6200179,2026-37
6200184,2026-21
6200185,2026-26
6200212,2026-39
6200213,2026-38
6200220,2026-34
6200221,2026-36
6200222,2026-36
6200223,2026-36
6200224,2026-36
6200225,2026-36
6200227,2026-37
6200228,2026-21
6200229,2026-27
6200230,2026-25
6200231,2026-22
6200232,2026-21
6200233,2026-21
6200235,2026-29
6200237,2026-39
6200238,2026-41
6200239,2026-43
6200240,2026-43
6200241,2026-31
6200243,2026-32
6200247,2026-41
6200254,2026-28
6200256,2026-21
6210178,2026-35
6210179,2026-38
6210246,2026-37
6220178,2026-36
6220179,2026-39
6220246,2026-38
6240005,2026-28
6240006,2026-40
6240007,2026-39
6260049,2026-31
6260066,2026-22
6260087,2026-21
6260088,2026-29
6260090,2026-25
6260091,2026-25
6260095,2026-25
6260096,2026-37
6260098,2026-29
6260099,2026-29
6260100,2026-31
6260101,2026-31
6260102,2026-41
6260103,2026-41
6260104,2026-42
6260105,2026-46
6260106,2026-47
6260107,2026-49
6260110,2026-47
6260111,2026-49
6500002,2026-26
6600004,2026-24
6600042,2026-42
6600043,2026-32
6600129,2026-33
6600139,2026-35
6600142,2026-44
6600176,2026-28
6600187,2026-43
6600198,2026-36
6600201,2026-44
6600225,2026-21
6600227,2026-44
6600232,2026-37
6600235,2026-21
6600275,2026-21
6600277,2026-37
6600281,2026-21
6600284,2026-27
6600285,2026-23
6600286,2026-34
6600287,2026-24
6600289,2026-21
6600291,2026-36
6600293,2026-45
6600294,2026-38
6600295,2026-43
6600300,2026-29
6600302,2026-45
6600303,2026-24
6600304,2026-38
6600308,2026-45
6600311,2026-38
6600318,2026-21
6600319,2026-21
6600320,2026-22
6600329,2026-24
6600330,2026-25
6600334,2026-39
6600335,2026-40
6600339,2026-39
6600340,2026-40
6600344,2026-21
6640008,2026-45
6660015,2026-45
6660077,2026-42
6660148,2026-21
6660151,2026-21
6660152,2026-21
6660153,2026-22
6660154,2026-22
6660155,2026-25
6660156,2026-24
6660157,2026-26
6660158,2026-22
6660159,2026-23
6660160,2026-25
6660161,2026-25
6660162,2026-29
6660163,2026-26
6660164,2026-29
6660165,2026-37
6660166,2026-29
6660167,2026-27
6660168,2026-30
6660170,2026-29
6660171,2026-30
6660172,2026-27
6660173,2026-27
6680028,2026-22
6680032,2026-32
6680033,2026-33
6680034,2026-24
6680035,2026-33
7300092,2026-44
7300097,2026-36
7300104,2026-22
7300105,2026-22
7310024,2026-21
7310092,2026-44
7310095,2026-32
7310097,2026-36
7310104,2026-22
7310105,2026-22
7310108,2026-35
7320024,2026-21
7320092,2026-44
7320095,2026-33
7320097,2026-36
7320104,2026-22
7320105,2026-22
7320108,2026-35
7360035,2026-29
7360037,2026-43
7360038,2026-49
7360039,2026-32
7360041,2026-27
7360044,2027-01
7370035,2026-29
7370037,2026-43
7370038,2026-49
7370039,2026-32
7370041,2026-29
7370044,2027-01
7380024,2026-21
7380029,2026-35
7380030,2026-25
7390029,2026-35
7390030,2026-25
7500103,2026-37
7500146,2026-38
7500148,2026-35
7500163,2026-43
7500177,2026-45
7500179,2026-32
7500182,2026-25
7500195,2026-26
7500197,2026-26
7500198,2026-36
7500211,2026-43
7500218,2026-26
7500220,2026-28
7500221,2026-41
7510103,2026-37
7510146,2026-38
7510148,2026-35
7510163,2026-43
7510177,2026-45
7510179,2026-32
7510182,2026-25
7510195,2026-26
7510197,2026-26
7510198,2026-36
7510211,2026-43
7510218,2026-26
7510220,2026-28
7510221,2026-41
7520103,2026-37
7520146,2026-38
7520148,2026-35
7520163,2026-43
7520177,2026-45
7520179,2026-32
7520182,2026-26
7520195,2026-26
7520197,2026-26
7520198,2026-36
7520211,2026-43
7520218,2026-26
7520221,2026-41
7540006,2026-23
7540007,2026-28
7540008,2026-36
7550006,2026-23
7550007,2026-23
7550008,2026-36
7560037,2026-46
7560064,2026-45
7560072,2026-42
7560076,2026-38
7560077,2027-13
7560078,2026-22
7560082,2026-38
7560083,2026-36
7560084,2026-33
7560085,2026-29
7560088,2026-48
7560089,2026-32
7560091,2026-52
7560093,2027-02
7560095,2026-43
7560096,2026-43
7570037,2026-46
7570064,2026-45
7570072,2026-42
7570076,2026-38
7570077,2027-13
7570078,2026-21
7570082,2026-38
7570083,2026-36
7570084,2026-33
7570085,2026-29
7570088,2026-48
7570089,2026-32
7570091,2026-52
7570093,2027-02
7570095,2026-43
7570096,2026-43
7700011,2026-36
7700017,2026-34
7700018,2026-37
7700024,2026-43
7710011,2026-36
7710017,2026-34
7710018,2026-37
7710024,2026-43
7720011,2026-36
7720017,2026-34
7720018,2026-38
7760010,2026-26
7760011,2026-28
7760012,2026-41
7760013,2026-45
7760014,2026-44
7760015,2026-31
7770010,2026-26
7770012,2026-41
7770015,2026-32
